date,p0_status,p0_reason,side,A_status,A_reason,RA,B_status,B_reason,RB,morning_A,downstream_A,downstream_B,epoch,D,D_decomp
20060102,no,calendar_closed,,not_in_P0,calendar_closed,,not_in_P0,calendar_closed,,,,,2006-12,,
20060103,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060104,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060105,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,,,,2006-12,,
20060106,yes,ok,1.0,resolved,ok,-2.75,resolved,ok,0.0,-2.75,0.0,0.0,2006-12,-2.75,-2.75
20060109,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,,,,2006-12,,
20060110,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060111,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,,,,2006-12,,
20060112,unknown,missing_decision_prefix_bar:553,,unknown,missing_decision_prefix_bar:553,,unknown,missing_decision_prefix_bar:553,,,,,2006-12,,
20060113,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060116,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060117,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,,,,2006-12,,
20060118,yes,ok,-1.0,resolved,ok,-3.75,resolved,ok,0.0,-3.75,0.0,0.0,2006-12,-3.75,-3.75
20060119,yes,ok,-1.0,resolved,ok,-2.75,resolved,ok,0.0,-2.75,0.0,0.0,2006-12,-2.75,-2.75
20060120,unknown,missing_decision_prefix_bar:550,,unknown,missing_decision_prefix_bar:550,,unknown,missing_decision_prefix_bar:550,,,,,2006-12,,
20060123,unknown,missing_decision_prefix_bar:549,,unknown,missing_decision_prefix_bar:549,,unknown,missing_decision_prefix_bar:549,,,,,2006-12,,
20060124,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,,,,2006-12,,
20060125,unknown,missing_decision_prefix_bar:549,,unknown,missing_decision_prefix_bar:549,,unknown,missing_decision_prefix_bar:549,,,,,2006-12,,
20060126,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060127,yes,ok,1.0,resolved,ok,9.25,resolved,ok,-4.5,9.25,0.0,-4.5,2006-12,13.75,13.75
20060130,unknown,missing_decision_prefix_bar:547,,unknown,missing_decision_prefix_bar:547,,unknown,missing_decision_prefix_bar:547,,,,,2006-12,,
20060131,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,,,,2006-12,,
20060201,yes,ok,1.0,resolved,ok,3.25,resolved,ok,0.0,3.25,0.0,0.0,2006-12,3.25,3.25
20060202,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060203,yes,ok,-1.0,resolved,ok,-0.75,resolved,ok,0.0,-0.75,0.0,0.0,2006-12,-0.75,-0.75
20060206,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060207,unknown,missing_decision_prefix_bar:556,,unknown,missing_decision_prefix_bar:556,,unknown,missing_decision_prefix_bar:556,,,,,2006-12,,
20060208,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060209,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060210,unknown,missing_decision_prefix_bar:554,,unknown,missing_decision_prefix_bar:554,,unknown,missing_decision_prefix_bar:554,,,,,2006-12,,
20060213,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060214,unknown,missing_decision_prefix_bar:557,,unknown,missing_decision_prefix_bar:557,,unknown,missing_decision_prefix_bar:557,,,,,2006-12,,
20060215,unknown,missing_decision_prefix_bar:546,,unknown,missing_decision_prefix_bar:546,,unknown,missing_decision_prefix_bar:546,,,,,2006-12,,
20060216,unknown,missing_decision_prefix_bar:557,,unknown,missing_decision_prefix_bar:557,,unknown,missing_decision_prefix_bar:557,,,,,2006-12,,
20060217,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060220,unknown,missing_decision_prefix_bar:546,,unknown,missing_decision_prefix_bar:546,,unknown,missing_decision_prefix_bar:546,,,,,2006-12,,
20060221,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,,,,2006-12,,
20060222,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2006-12,-19.75,-19.75
20060223,unknown,missing_decision_prefix_bar:550,,unknown,missing_decision_prefix_bar:550,,unknown,missing_decision_prefix_bar:550,,,,,2006-12,,
20060224,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,,,,2006-12,,
20060227,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060228,unknown,missing_decision_prefix_bar:546,,unknown,missing_decision_prefix_bar:546,,unknown,missing_decision_prefix_bar:546,,,,,2006-12,,
20060301,unknown,missing_decision_prefix_bar:556,,unknown,missing_decision_prefix_bar:556,,unknown,missing_decision_prefix_bar:556,,,,,2006-12,,
20060302,unknown,missing_decision_prefix_bar:547,,unknown,missing_decision_prefix_bar:547,,unknown,missing_decision_prefix_bar:547,,,,,2006-12,,
20060303,yes,ok,-1.0,resolved,ok,-5.25,resolved,ok,0.0,-5.25,0.0,0.0,2006-12,-5.25,-5.25
20060306,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060307,yes,ok,-1.0,resolved,ok,-1.25,resolved,ok,0.0,-1.25,0.0,0.0,2006-12,-1.25,-1.25
20060308,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,,,,2006-12,,
20060309,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,,,,2006-12,,
20060310,yes,ok,-1.0,resolved,ok,-9.75,resolved,ok,-2.5,-9.75,0.0,-2.5,2006-12,-7.25,-7.25
20060313,unknown,missing_decision_prefix_bar:551,,unknown,missing_decision_prefix_bar:551,,unknown,missing_decision_prefix_bar:551,,,,,2006-12,,
20060314,unknown,missing_decision_prefix_bar:546,,unknown,missing_decision_prefix_bar:546,,unknown,missing_decision_prefix_bar:546,,,,,2006-12,,
20060315,unknown,missing_decision_prefix_bar:565,,unknown,missing_decision_prefix_bar:565,,unknown,missing_decision_prefix_bar:565,,,,,2006-12,,
20060316,yes,ok,-1.0,unknown,detector:missing_v7m_bar:773,,unknown,detector:missing_v7m_bar:773,,1.75,0.0,0.0,2006-12,,
20060317,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060320,yes,ok,-1.0,unknown,detector:missing_v7m_bar:747,,unknown,detector:missing_v7m_bar:747,,3.75,0.0,0.0,2006-12,,
20060321,unknown,missing_decision_prefix_bar:550,,unknown,missing_decision_prefix_bar:550,,unknown,missing_decision_prefix_bar:550,,,,,2006-12,,
20060322,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,,,,2006-12,,
20060323,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060324,unknown,missing_decision_prefix_bar:547,,unknown,missing_decision_prefix_bar:547,,unknown,missing_decision_prefix_bar:547,,,,,2006-12,,
20060327,yes,ok,1.0,resolved,ok,-0.25,resolved,ok,-3.5,-0.25,0.0,-3.5,2006-12,3.25,3.25
20060328,yes,ok,1.0,resolved,ok,1.25,resolved,ok,-2.0,1.25,0.0,-2.0,2006-12,3.25,3.25
20060329,unknown,missing_decision_prefix_bar:551,,unknown,missing_decision_prefix_bar:551,,unknown,missing_decision_prefix_bar:551,,,,,2006-12,,
20060330,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060331,unknown,missing_decision_prefix_bar:557,,unknown,missing_decision_prefix_bar:557,,unknown,missing_decision_prefix_bar:557,,,,,2006-12,,
20060403,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,,,,2006-12,,
20060404,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,,,,2006-12,,
20060405,unknown,missing_decision_prefix_bar:555,,unknown,missing_decision_prefix_bar:555,,unknown,missing_decision_prefix_bar:555,,,,,2006-12,,
20060406,yes,ok,1.0,resolved,ok,0.25,resolved,ok,0.0,0.25,0.0,0.0,2006-12,0.25,0.25
20060407,yes,ok,-1.0,resolved,ok,13.25,resolved,ok,0.0,13.25,0.0,0.0,2006-12,13.25,13.25
20060410,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060411,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,,,,2006-12,,
20060412,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060413,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2006-12,-19.75,-19.75
20060414,no,calendar_closed,,not_in_P0,calendar_closed,,not_in_P0,calendar_closed,,,,,2006-12,,
20060417,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,,,,2006-12,,
20060418,unknown,missing_decision_prefix_bar:563,,unknown,missing_decision_prefix_bar:563,,unknown,missing_decision_prefix_bar:563,,,,,2006-12,,
20060419,yes,ok,-1.0,resolved,ok,3.75,resolved,ok,0.0,3.75,0.0,0.0,2006-12,3.75,3.75
20060420,unknown,missing_decision_prefix_bar:563,,unknown,missing_decision_prefix_bar:563,,unknown,missing_decision_prefix_bar:563,,,,,2006-12,,
20060421,yes,ok,1.0,resolved,ok,-14.25,resolved,ok,0.0,-14.25,0.0,0.0,2006-12,-14.25,-14.25
20060424,unknown,missing_decision_prefix_bar:553,,unknown,missing_decision_prefix_bar:553,,unknown,missing_decision_prefix_bar:553,,,,,2006-12,,
20060425,unknown,missing_decision_prefix_bar:547,,unknown,missing_decision_prefix_bar:547,,unknown,missing_decision_prefix_bar:547,,,,,2006-12,,
20060426,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,,,,2006-12,,
20060427,yes,ok,-1.0,unknown,missing_open_position_bar:587,,unknown,detector:missing_v7m_bar:916,,0.0,0.0,1.25,2006-12,,
20060428,yes,ok,-1.0,unknown,detector:missing_v7m_bar:916,,unknown,detector:missing_v7m_bar:916,,4.25,0.0,-2.0,2006-12,,
20060501,yes,ok,-1.0,unknown,detector:missing_v7m_bar:916,,unknown,detector:missing_v7m_bar:916,,3.75,0.0,0.0,2006-12,,
20060502,yes,ok,1.0,unknown,detector:missing_v7m_bar:916,,unknown,detector:missing_v7m_bar:916,,-5.25,0.0,0.0,2006-12,,
20060503,yes,ok,-1.0,unknown,detector:missing_v7m_bar:915,,unknown,detector:missing_v7m_bar:915,,-0.25,0.0,0.0,2006-12,,
20060504,yes,ok,-1.0,unknown,detector:missing_v7m_bar:915,,unknown,detector:missing_v7m_bar:915,,3.25,0.0,0.0,2006-12,,
20060505,yes,ok,-1.0,unknown,detector:missing_v7m_bar:915,,unknown,detector:missing_v7m_bar:915,,-6.25,0.0,0.0,2006-12,,
20060508,yes,ok,-1.0,unknown,detector:missing_v7m_bar:915,,unknown,detector:missing_v7m_bar:915,,1.75,0.0,0.0,2006-12,,
20060509,yes,ok,-1.0,unknown,detector:missing_v7m_bar:741,,unknown,detector:missing_v7m_bar:741,,-2.25,0.0,0.0,2006-12,,
20060510,yes,ok,1.0,resolved,ok,-3.0,resolved,ok,0.0,-3.0,0.0,0.0,2006-12,-3.0,-3.0
20060511,yes,ok,-1.0,resolved,ok,15.25,resolved,ok,6.75,15.25,0.0,6.75,2006-12,8.5,8.5
20060512,yes,ok,-1.0,resolved,ok,0.5,resolved,ok,0.0,0.5,0.0,0.0,2006-12,0.5,0.5
20060515,yes,ok,1.0,resolved,ok,-3.25,resolved,ok,0.0,-3.25,0.0,0.0,2006-12,-3.25,-3.25
20060516,yes,ok,1.0,resolved,ok,-13.5,resolved,ok,0.0,-13.5,0.0,0.0,2006-12,-13.5,-13.5
20060517,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060518,yes,ok,-1.0,resolved,ok,-0.5,resolved,ok,-2.75,-0.5,0.0,-2.75,2006-12,2.25,2.25
20060519,yes,ok,1.0,resolved,ok,-3.5,resolved,ok,-4.25,-3.5,0.0,-4.25,2006-12,0.75,0.75
20060522,yes,ok,1.0,resolved,ok,-4.5,resolved,ok,0.0,-4.5,0.0,0.0,2006-12,-4.5,-4.5
20060523,yes,ok,1.0,resolved,ok,-1.25,resolved,ok,0.0,-1.25,0.0,0.0,2006-12,-1.25,-1.25
20060524,yes,ok,-1.0,resolved,ok,-27.0,resolved,ok,-7.25,-19.75,-7.25,-7.25,2006-12,-19.75,-19.75
20060525,yes,ok,-1.0,resolved,ok,2.5,resolved,ok,0.0,2.5,0.0,0.0,2006-12,2.5,2.5
20060526,yes,ok,-1.0,resolved,ok,-4.25,resolved,ok,0.0,-4.25,0.0,0.0,2006-12,-4.25,-4.25
20060529,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060530,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060531,unknown,missing_decision_prefix_bar:553,,unknown,missing_decision_prefix_bar:553,,unknown,missing_decision_prefix_bar:553,,,,,2006-12,,
20060601,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2006-12,-19.75,-19.75
20060602,yes,ok,-1.0,resolved,ok,10.5,resolved,ok,-3.75,14.25,-3.75,-3.75,2006-12,14.25,14.25
20060605,unknown,missing_decision_prefix_bar:560,,unknown,missing_decision_prefix_bar:560,,unknown,missing_decision_prefix_bar:560,,,,,2006-12,,
20060606,unknown,missing_decision_prefix_bar:565,,unknown,missing_decision_prefix_bar:565,,unknown,missing_decision_prefix_bar:565,,,,,2006-12,,
20060607,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060608,yes,ok,-1.0,resolved,ok,19.0,resolved,ok,0.0,19.0,0.0,0.0,2006-12,19.0,19.0
20060609,yes,ok,1.0,resolved,ok,-0.25,resolved,ok,0.0,-0.25,0.0,0.0,2006-12,-0.25,-0.25
20060612,yes,ok,-1.0,resolved,ok,8.0,resolved,ok,0.0,8.0,0.0,0.0,2006-12,8.0,8.0
20060613,yes,ok,-1.0,resolved,ok,-9.75,resolved,ok,0.0,-9.75,0.0,0.0,2006-12,-9.75,-9.75
20060614,yes,ok,1.0,resolved,ok,4.25,resolved,ok,-3.5,4.25,0.0,-3.5,2006-12,7.75,7.75
20060615,yes,ok,1.0,resolved,ok,11.0,resolved,ok,0.0,11.0,0.0,0.0,2006-12,11.0,11.0
20060616,yes,ok,1.0,resolved,ok,-12.0,resolved,ok,0.0,-12.0,0.0,0.0,2006-12,-12.0,-12.0
20060619,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,,,,2006-12,,
20060620,unknown,missing_decision_prefix_bar:549,,unknown,missing_decision_prefix_bar:549,,unknown,missing_decision_prefix_bar:549,,,,,2006-12,,
20060621,unknown,missing_decision_prefix_bar:561,,unknown,missing_decision_prefix_bar:561,,unknown,missing_decision_prefix_bar:561,,,,,2006-12,,
20060622,unknown,missing_decision_prefix_bar:555,,unknown,missing_decision_prefix_bar:555,,unknown,missing_decision_prefix_bar:555,,,,,2006-12,,
20060623,unknown,missing_decision_prefix_bar:556,,unknown,missing_decision_prefix_bar:556,,unknown,missing_decision_prefix_bar:556,,,,,2006-12,,
20060626,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,,,,2006-12,,
20060627,yes,ok,-1.0,resolved,ok,19.5,resolved,ok,0.0,19.5,0.0,0.0,2006-12,19.5,19.5
20060628,unknown,missing_decision_prefix_bar:547,,unknown,missing_decision_prefix_bar:547,,unknown,missing_decision_prefix_bar:547,,,,,2006-12,,
20060629,yes,ok,1.0,resolved,ok,3.0,resolved,ok,-2.0,3.0,0.0,-2.0,2006-12,5.0,5.0
20060630,yes,ok,-1.0,unknown,detector:missing_v7m_bar:815,,unknown,detector:missing_v7m_bar:815,,10.75,0.0,-4.25,2006-12,,
20060703,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,,,,2006-12,,
20060704,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060705,yes,ok,-1.0,resolved,ok,16.25,resolved,ok,7.0,16.25,0.0,7.0,2006-12,9.25,9.25
20060706,unknown,missing_decision_prefix_bar:558,,unknown,missing_decision_prefix_bar:558,,unknown,missing_decision_prefix_bar:558,,,,,2006-12,,
20060707,yes,ok,-1.0,resolved,ok,-7.25,resolved,ok,0.0,-7.25,0.0,0.0,2006-12,-7.25,-7.25
20060710,unknown,missing_decision_prefix_bar:552,,unknown,missing_decision_prefix_bar:552,,unknown,missing_decision_prefix_bar:552,,,,,2006-12,,
20060711,yes,ok,-1.0,resolved,ok,-1.25,resolved,ok,0.0,-1.25,0.0,0.0,2006-12,-1.25,-1.25
20060712,yes,ok,1.0,resolved,ok,-12.25,resolved,ok,0.0,-12.25,0.0,0.0,2006-12,-12.25,-12.25
20060713,yes,ok,-1.0,resolved,ok,-5.5,resolved,ok,-2.75,-5.5,0.0,-2.75,2006-12,-2.75,-2.75
20060714,yes,ok,-1.0,resolved,ok,20.25,resolved,ok,0.0,20.25,0.0,0.0,2006-12,20.25,20.25
20060717,yes,ok,1.0,resolved,ok,2.0,resolved,ok,0.0,2.0,0.0,0.0,2006-12,2.0,2.0
20060718,unknown,missing_decision_prefix_bar:552,,unknown,missing_decision_prefix_bar:552,,unknown,missing_decision_prefix_bar:552,,,,,2006-12,,
20060719,yes,ok,1.0,resolved,ok,12.5,resolved,ok,-2.25,12.5,0.0,-2.25,2006-12,14.75,14.75
20060720,yes,ok,1.0,resolved,ok,-11.25,resolved,ok,0.0,-11.25,0.0,0.0,2006-12,-11.25,-11.25
20060721,yes,ok,-1.0,resolved,ok,0.25,resolved,ok,0.0,0.25,0.0,0.0,2006-12,0.25,0.25
20060724,unknown,missing_decision_prefix_bar:559,,unknown,missing_decision_prefix_bar:559,,unknown,missing_decision_prefix_bar:559,,,,,2006-12,,
20060725,yes,ok,1.0,resolved,ok,-4.5,resolved,ok,0.0,-4.5,0.0,0.0,2006-12,-4.5,-4.5
20060726,yes,ok,-1.0,resolved,ok,0.5,resolved,ok,-2.5,0.5,0.0,-2.5,2006-12,3.0,3.0
20060727,yes,ok,1.0,resolved,ok,-4.0,resolved,ok,0.0,-4.0,0.0,0.0,2006-12,-4.0,-4.0
20060728,yes,ok,-1.0,resolved,ok,-17.5,resolved,ok,0.0,-17.5,0.0,0.0,2006-12,-17.5,-17.5
20060731,yes,ok,-1.0,resolved,ok,-7.5,resolved,ok,0.0,-7.5,0.0,0.0,2006-12,-7.5,-7.5
20060801,yes,ok,-1.0,resolved,ok,10.0,resolved,ok,1.0,10.0,0.0,1.0,2006-12,9.0,9.0
20060802,unknown,missing_decision_prefix_bar:558,,unknown,missing_decision_prefix_bar:558,,unknown,missing_decision_prefix_bar:558,,,,,2006-12,,
20060803,yes,ok,-1.0,resolved,ok,-10.5,resolved,ok,0.0,-10.5,0.0,0.0,2006-12,-10.5,-10.5
20060804,yes,ok,-1.0,resolved,ok,1.25,resolved,ok,0.0,1.25,0.0,0.0,2006-12,1.25,1.25
20060807,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,,,,2006-12,,
20060808,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,,,,2006-12,,
20060809,yes,ok,1.0,resolved,ok,6.75,resolved,ok,0.0,6.75,0.0,0.0,2006-12,6.75,6.75
20060810,yes,ok,1.0,resolved,ok,3.5,resolved,ok,0.0,3.5,0.0,0.0,2006-12,3.5,3.5
20060811,unknown,missing_decision_prefix_bar:557,,unknown,missing_decision_prefix_bar:557,,unknown,missing_decision_prefix_bar:557,,,,,2006-12,,
20060814,unknown,missing_decision_prefix_bar:554,,unknown,missing_decision_prefix_bar:554,,unknown,missing_decision_prefix_bar:554,,,,,2006-12,,
20060815,yes,ok,-1.0,resolved,ok,-7.0,resolved,ok,0.0,-7.0,0.0,0.0,2006-12,-7.0,-7.0
20060816,yes,ok,-1.0,resolved,ok,-4.0,resolved,ok,0.0,-4.0,0.0,0.0,2006-12,-4.0,-4.0
20060817,unknown,missing_decision_prefix_bar:546,,unknown,missing_decision_prefix_bar:546,,unknown,missing_decision_prefix_bar:546,,,,,2006-12,,
20060818,unknown,missing_decision_prefix_bar:557,,unknown,missing_decision_prefix_bar:557,,unknown,missing_decision_prefix_bar:557,,,,,2006-12,,
20060821,unknown,missing_decision_prefix_bar:553,,unknown,missing_decision_prefix_bar:553,,unknown,missing_decision_prefix_bar:553,,,,,2006-12,,
20060822,unknown,missing_decision_prefix_bar:553,,unknown,missing_decision_prefix_bar:553,,unknown,missing_decision_prefix_bar:553,,,,,2006-12,,
20060823,unknown,missing_decision_prefix_bar:550,,unknown,missing_decision_prefix_bar:550,,unknown,missing_decision_prefix_bar:550,,,,,2006-12,,
20060824,yes,ok,-1.0,resolved,ok,7.75,resolved,ok,0.0,7.75,0.0,0.0,2006-12,7.75,7.75
20060825,unknown,missing_decision_prefix_bar:562,,unknown,missing_decision_prefix_bar:562,,unknown,missing_decision_prefix_bar:562,,,,,2006-12,,
20060828,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,,,,2006-12,,
20060829,unknown,missing_decision_prefix_bar:550,,unknown,missing_decision_prefix_bar:550,,unknown,missing_decision_prefix_bar:550,,,,,2006-12,,
20060830,unknown,missing_decision_prefix_bar:560,,unknown,missing_decision_prefix_bar:560,,unknown,missing_decision_prefix_bar:560,,,,,2006-12,,
20060831,unknown,missing_decision_prefix_bar:546,,unknown,missing_decision_prefix_bar:546,,unknown,missing_decision_prefix_bar:546,,,,,2006-12,,
20060901,yes,ok,1.0,resolved,ok,-5.5,resolved,ok,0.0,-5.5,0.0,0.0,2006-12,-5.5,-5.5
20060904,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,,,,2006-12,,
20060905,yes,ok,-1.0,resolved,ok,-6.0,resolved,ok,0.0,-6.0,0.0,0.0,2006-12,-6.0,-6.0
20060906,yes,ok,-1.0,resolved,ok,2.75,resolved,ok,0.0,2.75,0.0,0.0,2006-12,2.75,2.75
20060907,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,,,,2006-12,,
20060908,unknown,missing_decision_prefix_bar:563,,unknown,missing_decision_prefix_bar:563,,unknown,missing_decision_prefix_bar:563,,,,,2006-12,,
20060911,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,,,,2006-12,,
20060912,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,,,,2006-12,,
20060913,unknown,missing_decision_prefix_bar:556,,unknown,missing_decision_prefix_bar:556,,unknown,missing_decision_prefix_bar:556,,,,,2006-12,,
20060914,yes,ok,-1.0,resolved,ok,-6.25,resolved,ok,0.0,-6.25,0.0,0.0,2006-12,-6.25,-6.25
20060915,yes,ok,-1.0,resolved,ok,5.5,resolved,ok,0.0,5.5,0.0,0.0,2006-12,5.5,5.5
20060918,yes,ok,-1.0,resolved,ok,-8.5,resolved,ok,0.0,-8.5,0.0,0.0,2006-12,-8.5,-8.5
20060919,yes,ok,-1.0,unknown,detector:missing_v7m_bar:772,,unknown,detector:missing_v7m_bar:772,,3.75,0.0,0.0,2006-12,,
20060920,yes,ok,1.0,resolved,ok,9.0,resolved,ok,0.0,9.0,0.0,0.0,2006-12,9.0,9.0
20060921,yes,ok,-1.0,resolved,ok,-3.0,resolved,ok,0.0,-3.0,0.0,0.0,2006-12,-3.0,-3.0
20060922,unknown,missing_decision_prefix_bar:547,,unknown,missing_decision_prefix_bar:547,,unknown,missing_decision_prefix_bar:547,,,,,2006-12,,
20060925,yes,ok,1.0,resolved,ok,-8.0,resolved,ok,-4.0,-4.0,-4.0,-4.0,2006-12,-4.0,-4.0
20060926,unknown,missing_decision_prefix_bar:553,,unknown,missing_decision_prefix_bar:553,,unknown,missing_decision_prefix_bar:553,,,,,2006-12,,
20060927,yes,ok,1.0,resolved,ok,4.75,resolved,ok,0.0,4.75,0.0,0.0,2006-12,4.75,4.75
20060928,unknown,missing_decision_prefix_bar:563,,unknown,missing_decision_prefix_bar:563,,unknown,missing_decision_prefix_bar:563,,,,,2006-12,,
20060929,yes,ok,-1.0,unknown,detector:missing_v7m_bar:738,,unknown,detector:missing_v7m_bar:738,,-1.75,0.0,0.0,2006-12,,
20061002,yes,ok,-1.0,resolved,ok,-3.5,resolved,ok,0.0,-3.5,0.0,0.0,2006-12,-3.5,-3.5
20061003,yes,ok,-1.0,resolved,ok,-7.5,resolved,ok,0.0,-7.5,0.0,0.0,2006-12,-7.5,-7.5
20061004,unknown,missing_decision_prefix_bar:565,,unknown,missing_decision_prefix_bar:565,,unknown,missing_decision_prefix_bar:565,,,,,2006-12,,
